order_id,user_id,product_id,quantity,purchase_date
1,U09245,80257,2,2026-05-19
1,U09245,38397,3,2026-05-19
1,U09245,66770,3,2026-05-19
1,U09245,69085,1,2026-05-19
2,U08717,47860,2,2025-12-09
2,U08717,100752,1,2025-12-09
2,U08717,12824,1,2025-12-09
2,U08717,5812,2,2025-12-09
2,U08717,104110,3,2025-12-09
2,U08717,46769,3,2025-12-09
3,U09443,53891,3,2026-02-12
3,U09443,94127,2,2026-02-12
3,U09443,106182,3,2026-02-12
3,U09443,59251,3,2026-02-12
3,U09443,56255,3,2026-02-12
3,U09443,9205,3,2026-02-12
4,U00458,31840,1,2025-09-14
4,U00458,57936,3,2025-09-14
5,U00535,49711,3,2025-10-28
5,U00535,109567,3,2025-10-28
6,U02219,61761,2,2026-03-18
6,U02219,21761,1,2026-03-18
6,U02219,41070,3,2026-03-18
7,U03583,19749,1,2026-07-12
7,U03583,62201,3,2026-07-12
7,U03583,63213,3,2026-07-12
7,U03583,625,2,2026-07-12
8,U07829,88037,3,2025-07-17
8,U07829,58681,1,2025-07-17
8,U07829,104497,1,2025-07-17
8,U07829,77209,2,2025-07-17
8,U07829,5093,1,2025-07-17
9,U09873,50630,1,2026-07-08
9,U09873,68438,2,2026-07-08
9,U09873,73036,1,2026-07-08
9,U09873,14995,1,2026-07-08
9,U09873,84961,3,2026-07-08
9,U09873,75810,3,2026-07-08
10,U07794,51682,2,2025-11-30
10,U07794,104374,3,2025-11-30
10,U07794,93422,1,2025-11-30
10,U07794,108251,3,2025-11-30
10,U07794,11539,3,2025-11-30
11,U03809,14832,3,2026-05-22
11,U03809,39508,3,2026-05-22
11,U03809,63162,1,2026-05-22
11,U03809,97981,1,2026-05-22
11,U03809,26803,3,2026-05-22
12,U02502,35980,2,2026-02-15
12,U02502,88464,1,2026-02-15
12,U02502,35284,2,2026-02-15
12,U02502,82743,1,2026-02-15
13,U06744,8748,1,2026-02-05
13,U06744,11104,2,2026-02-05
13,U06744,13248,3,2026-02-05
13,U06744,96684,2,2026-02-05
13,U06744,40883,3,2026-02-05
14,U05569,29682,1,2026-04-20
14,U05569,53846,2,2026-04-20
14,U05569,57029,2,2026-04-20
15,U09476,14606,2,2025-10-07
15,U09476,97734,1,2025-10-07
15,U09476,56829,2,2025-10-07
15,U09476,86414,1,2025-10-07
16,U00557,22552,2,2026-07-12
16,U00557,1048,1,2026-07-12
16,U00557,82607,2,2026-07-12
16,U00557,106423,2,2026-07-12
16,U00557,98655,1,2026-07-12
